,Name,Distance,Mass,Radius,Gravity(in m/s2)
0,SDSS J000013.54+255418.6 [de],46.1,9.5472e+31,688743000.0,13424.170469859524
1,2MASS J08283419-1309198,,,,1960.1757065931874
2,2MASS J00040288-6410358,192,3.7791e+31,1133991000.0,18225.972293354167
3,LHS 102BC,,,,4097.824172562099
4,2MASS J00242463-0158201,37.7,1.5713099999999999e+32,758313000.0,15411.972263846299
5,2MASS J00250365+4759191AB,143,,,3887.2505465606537
6,2MASS J00274197+0503417,236,6.165899999999999e+31,1001808000.0,13028.97328295683
7,2MASS J00275592+2219328,46.9,,,13028.97328295683
8,2MASSW J0030300-145033,87.2,1.07406e+32,681786000.0,2402.229064918921
9,2MASS J00332386-1521309 [de],131,5.7681e+31,994851000.0,1946.3061357262307
10,2MASS J00345157+0523050,31,8.3538e+31,653958000.0,12408.545983768408
11,2MASS 0036+1821,28.6,8.3538e+31,653958000.0,3887.2505465606537
12,2MASSW J0045214+163445,57,4.574699999999999e+31,1127034000.0,14841.158476296434
13,WISEP J004701.06+680352.1 [fr],40,2.3868e+31,904410000.0,14841.158476296434
14,2MASS J00501994-3322402 [de],34,7.956e+31,653958000.0,2088.894839059931
15,2MASS J00034227-2822410,,,,2114.924430241458
16,2MASS J00584253-0651239 [de],96,5.7681e+31,994851000.0,13692.129553329658
17,CFBDS J005910.90–011401.3,30,,,13692.129553329658
18,2MASSI J0103320+193536,70,1.0342799999999999e+32,681786000.0,1756.4063871680391
19,SDSSp J010752.33+004156.1 [de],51,1.0342799999999999e+32,681786000.0,2088.894839059931
20,2MASSI J0117474-340325 [de],163,3.978e+31,1127034000.0,3722.5637951305225
21,2MASS J01415823-4633574 [de],130,3.978e+31,1120077000.0,9229.117198028423
22,SDSS J015141.69+124429.6,70,9.3483e+31,674829000.0,18330.052212750896
23,DENIS-P J020529.0−115925A,65,,,4935.4046401091055
24,DENIS-P J020529.0−115925B,65,,,4935.4046401091055
25,DENIS-P J020529.0−115925C,65,,,23305.752431199417
26,SDSS J020742.48+000056.2 [de],111,9.3483e+31,674829000.0,14274.773364109644
27,2MASS J02103857-3015313,101,2.9835e+31,1064421000.0,18239.108286402337
28,2MASS J02340093-6442068,155,3.978e+31,1127034000.0,2287.8538096868974
29,2MASS J02411151-0326587 [de],152,5.3703e+31,980937000.0,13667.274387994448
30,2MASS J02431371−2453298,35,6.5637e+31,688743000.0,2919.459203589346
31,LP 771-21,53,1.5514199999999999e+32,751356000.0,15411.972263846299
32,2MASS J02511327+0047364,,,,18500.045300522765
33,2MASS J02535980+3206373,184,1.29285e+32,1321830000.0,9785.147927549231
34,WISE J0254+0223,24,1.29285e+32,1321830000.0,18397.962610273804
35,DEN 0255-4700,16.2,1.5912e+32,674829000.0,1055.1050462598632
36,2MASS J03185403-3421292 [de],45,9.7461e+31,674829000.0,17334.421005460536
37,2MASS J03205965+1854233,47,1.75032e+32,800054999.9999999,3146.289953873326
38,2MASS J03231002-4631237,192,4.574699999999999e+31,1154862000.0,9111.516258662965
39,SDSS J032553.17+042540.1,59,8.9505e+31,660915000.0,18456.680803396626
40,2MASS J03264225-2102057 [de],80,3.5801999999999996e+31,904410000.0,17265.355302434127
41,2MASS J03284265+2302051 [de],98,1.07406e+32,681786000.0,2754.5379810034583
42,2MASS J03341218-4953322,27.0,1.4519699999999999e+32,723528000.0,13983.451458719652
43,LP 944-20,20.9,1.4519699999999999e+32,994851000.0,1903.2651108419934
